,question,answer,category,table_id
378,How old was Boltasseva when she won Young Elite-Researcher Award from the Danish Councils for Independent Research?,30,scientist,315
379,How old was Alexandra Boltasseva when she won her first award?,30,scientist,315
380,How many years were between Boltasseva's awards as Fellow of the Materials Research Society and Fellow of The Optical Society?,6,scientist,315
381,In what year did Boltasseva win the most awards?,2013,scientist,315
382,What year did Alexandra Boltasseva receive the MIT Technology Review Top Young Innovator award?,2011,scientist,315
383,What was the most recent award won by Alexandra Boltasseva?,Fellow of the Materials Research Society,scientist,315
384,How many years after getting the 2001 Innovative Teaching Grant - Intel Corporation did Aude Gemma Billard get The Outstanding Young Person in Science and Innovation award?,2,scientist,321
385,How many years are between Billard's award for The Outstanding Young Person in Science and Innovation and Innovative Teaching Grant?,2,scientist,321
386,What award did Billard receive the same year she was nominated as a Member of SATW?,Nominated for Outstanding Women in Academics SNSF,scientist,321
387,How many years ago did Aude Gemma Billard receive the Fellowship from the Medicus Foundation?,23,scientist,321
388,How old was Aude Gemma Billard when she was nominated as a Member of SATW?,45,scientist,321
389,What award did Aude Gemma Billard get when she was 44 years old?,King-Sun Fu Best Transactions Paper Award,scientist,321
390,How old was Aude Gemma Billard when she was nominated as a Member of SATW?,45,scientist,321
391,How old was Aude Billard when she was nominated as a Member of SATW?,45,scientist,321
392,How many awards has Aude Gemma Billard received since 1990?,8,scientist,321
393,How many years was Hulk Hogan active as a wrestler?,35,wrestling,339
394,How many years ago did Hogan debut his wrestling career?,45,wrestling,339
395,What year did Hulk Hogan become an actor?,1982,wrestling,339
396,How old was Hulk Hogan when he married Linda Hogan?,30,wrestling,339
397,Which is greater: the number of Hulk Hogan's divorces or nephews?,divorces,wrestling,339
398,How many years had Hulk Hogan been a wrestler when he started acting?,5,wrestling,339
399,In which year did Hogan become an actor?,1982,wrestling,339
400,How many years did Hulk Hogan actively wrestle?,35,wrestling,339
401,Who was the spouse of Hulk Hogan in 2000?,Linda Hogan,wrestling,339
402,What was Jeffrey Epstein's occupation?,financier,person,340
403,At what age did Jeffrey Epstein get work release?,55,person,340
404,Approximately how many months after being apprehended did Jeffrey Epstein die by suicide?,1,person,340
405,How old did Jeffrey Epstein turn the year he was apprehended?,66,person,340
406,How many months after being apprehended did Jeffrey Epstein commit suicide?,1,person,340
407,How many years after his first penalty was Jeffrey Epstein apprehended?,11,person,340
408,How old was Epstein when he was apprehended?,66,person,340
409,"How many days did Jeffrey Epstein live after he was apprehended on July 6, 2019?",35,person,340
410,How many days after Epstein was apprehended was the mugshot photo taken?,3,person,340
411,What year was Jeffrey Epstein apprehended?,2019,person,340
412,How many months after his arrest did Epstein die?,1,person,340
413,How old was Jeffrey Epstein when he was apprehended in 2019?,66,person,340
414,At what age was Jeffrey Epstein apprehended?,66,person,340
415,How many days before his death was Jeffrey Edward Epstein apprehended?,35,person,340
416,How did Jeffrey Epstein die?,hanging,person,340
417,How old was Jeffrey Edward Epstein at the time of his 13-month penalty?,55,person,340
418,How many days after Jeffrey Edward Epstein's apprehension was his final mugshot taken?,3,person,340
419,How old was Jeffrey Epstein when he was convicted in 2008?,55,person,340
420,What criminal charges was Jeffrey Epstein convicted of in 2008?,Procuring an underage girl for prostitution; sex trafficking,person,340
421,What year was Jeffrey Epstein first convicted of sex trafficking?,2008,person,340
422,In what city was Jeffrey Epstein born?,New York City,person,340
423,What was Nicki Minaj's birth name in 1982?,Onika Tanya Maraj,musician,347
424,How old was Nicki Minaj when she married Kenneth Petty in 2019?,37,musician,347
425,How long in years was Nicki Minaj with her second partner?,3,musician,347
426,How many years had Nicki Minaj been with her first partner when she started performing?,4,musician,347
427,How many years has Nicki Minaj been active in her career?,18,musician,347
428,How old was Minaj when her career began?,22,musician,347
429,How long after Minaj's career began did she marry Kenneth Petty?,15,musician,347
430,How old was Nicki Minaj when she ended her partnership with Safaree Samuels?,32,musician,347
431,How many years were there between Nicki Minaj's relationships with Safaree Samuels and Meek Mill?,1,musician,347
432,How old was Nicki Minaj when she got married?,36,musician,347
433,What year did Nicki Minaj break up with her first partner?,2014,musician,347
434,How many years longer did Minaj's relationship with Safaree Samuels last than with Meek Mill?,12,musician,347
435,How long in years was Paul Gauguin married to Teha'amana?,2,painter,349
436,What age did Paul Gauguin die at?,54,painter,349
437,How many times was Paul Gauguin married?,2,painter,349
438,How many years ago did Paul Gauguin die?,119,painter,349
439,At what age did Paul Gauguin marry Mette-Sophie Gad?,25,painter,349
440,At what age did Paul Gauguin separate from Mette-Sophie Gad?,46,painter,349
441,At what age did Paul Gauguin separate from Teha'amana?,45,painter,349
442,Who was Paul Gauguin's longest marriage with?,Mette-Sophie Gad,painter,349
443,How many years was Paul Gauguin married to Mette-Sophie Gad?,21,painter,349
444,What is the notable work by Pierre Auguste Cot in 1873?,Springtime,painter,350
445,How old was Pierre Auguste Cot when he died?,46,painter,350
446,"What year did Pierre Auguste Cot write ""The Storm""?",1880,painter,350
447,At what age did Pierre Auguste Cot die?,46,painter,350
448,"What year did Pierre Auguste Cot write ""Springtime""?",1873,painter,350
449,"How old was Pierre Auguste Cot when he painted ""The Storm""?",43,painter,350
450,In what year was Pierre Auguste Cot born?,1837,painter,350
451,What is the date of birth of Pierre Auguste Cot?,"February 17, 1837",painter,350
452,On what date was Pierre Auguste Cot born?,"February 17, 1837",painter,350
453,At what age did Pierre Auguste Cot finish The Storm?,43,painter,350
454,What painting did Pierre Auguste Cot finish three years before his death?,The Storm,painter,350
455,What painting did Pierre Auguste Cot finish at the age of 36?,Springtime,painter,350
456,At what age did Stephen Hawking marry Jane Wilde?,23,nobel,352
457,At what age did Stephen Hawking divorce Jane Wilde?,53,nobel,352
458,At what age did Stephen Hawking marry Elaine Mason?,53,nobel,352
459,How old was Stephen Hawking when he wrote his thesis in 1966?,24,nobel,352
460,How many years ago did Stephen Hawking die?,4,nobel,352
461,How many awards did Stephen Hawking win in 1976?,3,nobel,352
462,What medal did Stephen Hawking win in 1966?,Adams Prize,nobel,352
463,What year did Stephen Hawking win the Presidential Medal of Freedom?,2009,nobel,352
464,How old was Stephen Hawking when he married his first wife in 1965?,23,nobel,352
465,How many years before Stephen Hawking died did he win the Copley Medal?,12,nobel,352
466,At what age did Stephen Hawking divorce his first wife?,53,nobel,352
467,How many years did Stephen Hawking and Jane Wilde have a marital relationship?,30,nobel,352
468,How many years ago did Stephen Hawking release the Properties of Expanding Universes?,56,nobel,352
469,What was the title of Stephen Hawking's thesis written in 1966?,Properties of Expanding Universes,nobel,352
470,How old was Stephen Hawking when he was awarded the BBVA Foundation Frontiers of Knowledge Award in 2015?,73,nobel,352
471,At what age did Stephen Hawking win the Hughes Medal?,34,nobel,352
472,How old was Stephen Hawking when he died?,76,nobel,352
473,How many Albert Einstein Awards did Stephen Hawking win from 1966 to 2015?,2,nobel,352
474,At what age did Steve Jobs become active in his career?,21,person,353
475,How many years after becoming active did Steve Jobs get married?,15,person,353
476,How many children did Steven Paul Jobs have?,4,person,353
477,How long in years were Chrisann Brennan and Steven Paul Jobs partners?,5,person,353
478,How many years ago did Steve Jobs die?,11,person,353
479,How old was Steve Jobs when he married Laurene Powell?,36,person,353
480,How many years ago did Steve Jobs present the iPhone 4?,12,person,353
481,At what age did Steve Jobs marry his spouse?,36,person,353
482,At what age did Steve Jobs marry Laurene Powell?,36,person,353
483,At what age did Steve Jobs end his partnership with Chrisann Brennan?,22,person,353
484,How many years was Steve Jobs active in his career?,35,person,353
485,At what age did Steve Jobs marry Laurene Powell?,36,person,353
486,How many years were Steven Paul Jobs and Chrisann Brennan partners?,5,person,353
487,How many companies has Steven Paul Jobs been a board member of?,2,person,353
488,How many years after first becoming active did Steve Jobs get married?,15,person,353
489,How many years was Steve Jobs in a relationship with his partner Chrisann Brennan?,5,person,353
490,How old was Steve Jobs when he married Laurene Powell in 1991?,36,person,353
491,At what age did Steve Jobs first have a partner?,17,person,353
492,"In what year was ""The Gross Clinic"" created?",1875,painter,356
493,How old was Thomas Eakins when he died?,71,painter,356
494,What is the name of the painting Thomas Eakins painted in 1908?,William Rush and His Model,painter,356
495,"What year did Thomas Eakins paint ""The Gross Clinic""?",1875,painter,356
496,"How old was Thomas Eakins when he painted ""Max Schmitt in a Single Scull""?",27,painter,356
497,"At what age did Thomas Eakins create ""The Agnew Clinic""?",45,painter,356
498,At what age did Thomas Eakins die?,71,painter,356
499,Where was Thomas Eakins born in 1844?,"Philadelphia, Pennsylvania, United States",painter,356
500,At what age did the artist complete his work The Gross Clinic?,31,painter,356
501,What was the first award that Alimuddin Zumla won?,Weber-Parkes Trust Medal,scientist,364
502,How many awards has Alimuddin Zumla won in the last ten years?,6,scientist,364
503,How old was Alimuddin Zumla when he won the 2021 EU-EDCTP Pascoal Mocumbi Prize?,66,scientist,364
504,How old was Alimuddin Zumla when he won the 1999 Weber-Parkes Trust Medal?,44,scientist,364
505,What year did Alimuddin Zumla win the Union Medal?,2018,scientist,364
506,What was the name of the most recent award that Alimuddin Zumla received?,EU-EDCTP Pascoal Mocumbi Prize,scientist,364
507,How old was Zumla when he won the Mahathir Science Award?,65,scientist,364
508,How many years after Zumla wrote his thesis did he win the Weber-Parkes Trust Medal?,12,scientist,364
509,How many years are there between when Zumla won the EU-EDCTP Pascoal Mocumbi Prize and the Karolinska Institutet Science Award?,9,scientist,364
510,How many awards did he win?,4,nobel,369
511,Who did Adolf von Baeyer marry in 1868?,Adelheid Bendemann,nobel,369
512,What award did Adolf von Baeyer receive in 1903?,Liebig Medal,nobel,369
513,How old was Adolf von Baeyer when he won the Nobel Prize for Chemistry?,70,nobel,369
514,At what age did Adolf von Baeyer marry Adelheid Bendemann?,33,nobel,369
515,At what age did Adolf von Baeyer receive the Nobel Prize?,70,nobel,369
516,How many children did Adolf von Baeyer have?,3,nobel,369
517,How old was he when he won the Nobel?,70,nobel,369
518,How old was he when he got married?,33,nobel,369
519,How old was Adolf von Baeyer when he got married?,33,nobel,369
520,How many years before his death did Adolf von Baeyer win the Nobel Prize in Chemistry?,12,nobel,369
521,How long had Adolf von Baeyer been married when he won the Davy Medal?,13,nobel,369
522,At what age did Adolf von Baeyer marry Adelheid Bendemann?,33,nobel,369
523,At what age did Adolf von Baeyer receive the Nobel Prize?,70,nobel,369
524,How many children did Adolf von Baeyer have?,3,nobel,369
525,How many years before Johann Friedrich Wilhelm Adolf Baeyer's death did he win the Nobel Prize for Chemistry?,12,nobel,369
526,At what age did Johann Friedrich Wilhelm Adolf Baeyer win the Davy Medal?,46,nobel,369
527,How many years after marrying his spouse did Johann Friedrich Wilhelm Adolf Baeyer win the Liebig Medal?,35,nobel,369
528,How many spouses did Albert A. Michelson have?,2,nobel,370
529,What award did Albert A. Michelson receive in 1907?,Nobel Prize in Physics,nobel,370
530,At what age did Albert A. Michelson marry his first wife Margaret Hemingway?,25,nobel,370
531,How many children did Albert A. Michelson have in total?,6,nobel,370
532,What year did Albert A. Michelson marry Edna Stanton?,1899,nobel,370
533,How many children did he have?,6,nobel,370
534,How old was he when he won the Nobel Prize?,55,nobel,370
535,What was the name of the spouse Albert A. Michelson married in 1877?,Margaret Hemingway,nobel,370
536,At what age did Albert A. Michelson die?,78,nobel,370
537,How many children did Albert A. Michelson have?,6,nobel,370
538,How many years after his divorce did Albert A. Michelson get remarried?,1,nobel,370
539,At what age did Albert A. Michelson marry his second wife Edna Stanton?,47,nobel,370
540,How old was Albert A. Michelson when he first got married?,25,nobel,370
541,Who was Albert A. Michelson married to when he won the Nobel Prize in Physics?,Edna Stanton,nobel,370
542,How many years between his first and last award?,26,nobel,370
543,What MLB team did Art Wilson spend the most time playing for?,New York Giants,baseball,400
544,What year did Art Wilson play for the Cleveland Indians?,1921,baseball,400
545,How old was Art Wilson when he made his MLB debut in 1908?,23,baseball,400
546,How many years longer did Wilson play for the New York Giants than the Boston Braves?,3,baseball,400
547,How many years after his last MLB appearance did Wilson die?,39,baseball,400
548,What was the first team in the Major League that Art Wilson played for?,New York Giants,baseball,400
549,How long in years did Art Wilson play in the MLB?,13,baseball,400
550,How many years after his MLB debut did Art Wilson play for the Pittsburgh Pirates?,8,baseball,400
551,What was Art Wilson's last year playing in Major League Baseball?,1921,baseball,400
552,How many years did Babe Young play for MLB?,12,baseball,401
553,How old was Young when he made his MLB debut?,21,baseball,401
554,For how many more years did Young play for the New York Giants during his second stint compared to his time with the Cincinnati Reds?,2,baseball,401
555,How many years after his final MLB appearance did Young die?,35,baseball,401
556,What year did Babe Young make his MLB debut?,1936,baseball,401
557,Which team was represented by Babe Young in 1940?,New York Giants,baseball,401
558,How old was Babe Young when he began his MLB career?,21,baseball,401
559,How many years did Babe Young play for the Cincinnati Reds?,2,baseball,401
560,How old was Babe Young when he made his MLB debut?,21,baseball,401
561,How many years after his last MLB appearance did McCoy die?,70,baseball,405
562,How many years after his MLB debut did McCoy play for the Philadelphia Athletics?,2,baseball,405
563,How old was McCoy when he made his MLB debut?,23,baseball,405
564,What was the first professional baseball team that Benny McCoy played for?,Detroit Tigers,baseball,405
565,For how many years did Benny McCoy play professional baseball?,3,baseball,405
566,How many total years did Benny McCoy for MLB?,3,baseball,405
567,When was the last season that Benny McCoy played professionally?,1941,baseball,405
568,How old was Benny McCoy when he made his MLB debut?,23,baseball,405
569,How many years did Benny McCoy play for the Detroit Tigers?,1,baseball,405
570,How many years ago was the current constitution established in Brazil?,34,country,424
571,How many years ago was Brazil declared a republic?,133,country,424
572,Who was the most prevalent ethnic group in the Federative Republic of Brazil in 2010?,White,country,424
573,How many years were there between the end of the last monarch's reign and the establishment of Denmark-Norway?,14,empire,430
574,How many colors were on the Banner of the realms of the Kalmar Union?,2,empire,430
575,How long in years did the Kalmar Union last?,140,empire,430
576,Who was the first monarch to rule the Kalmar Union in 1397?,Eric of Pomerania,empire,430
577,How many years did the last monarch of the Kalmar Union rule?,10,empire,430
578,How many years after the inception of the Kalmar Union did Eric of Pomerania end his reign?,45,empire,430
579,Who was the monarch during the Stockholm Bloodbath?,Christian II,empire,430
580,How many kingdoms preceded the Kalmar Union?,3,empire,430
581,How many years long was the last reign of the Kalmar Union?,10,empire,430
582,How many Prime Ministers did the Mexican Empire have?,1,empire,433
583,How long in years was José Manuel de Herrera Prime Minister of the Mexican Empire?,1,empire,433
584,How many months after the Plan of Iguala did Mexican independence occur?,7,empire,433
585,How many countries preceded the Mexican Empire?,1,empire,433
586,How long in years did the Mexican Empire last?,2,empire,433
587,Who was the emperor of the Mexican Empire in 1822?,Agustin I,empire,433
588,How many months after the Plan of Iguala was Mexican independence?,7,empire,433
589,How long in years was José Manuel de Herrera Prime Minister of the Mexican Empire?,1,empire,433
590,How many years prior to Agustin I's rule was the Plan of Iguala?,1,empire,433
591,How many years after the French occupation of Algeria was its independence?,132,country,436
592,"Prior to Al Jazâ'ir, which dynasty lasted the longest?",Zayyanid dynasty,country,436
593,How many years longer was the period between the Hammadid and the Zayyanid dynasties compared to the period between the Rustamid and the Zirid dynasties?,25,country,436
594,How many days after the formation of the Belarusian People's Republic did Belarus gain independence from Russia?,17,country,438
595,How long in years has Belarus been under its current Constitution?,28,country,438
596,How many years were there between independence from Russia and independence from the USSR?,73,country,438
597,How many minutes elapsed between the insertion of Mars Express into orbit and the landing of Beagle 2?,6,space probe,452
598,How long in days did Mars Express travel in space to reach Mars?,206,space probe,452
599,How many years ago did Mars Express perform orbital insertion?,19,space probe,452
600,How many months are left in the Mars Express mission duration?,7,space probe,452
601,How many days did it take for Mars Express to reach Mars?,206,space probe,452
602,"If Mars Express begins its orbit at 10:00 a.m., what time will it return to the same point?",5:30 p.m.,space probe,452
603,"Rounding up, what was the difference in years between the planned and elapsed time of the Orbiter Mission duration?",5,space probe,457
604,How many days after launch did Chandrayaan-2 land on the moon?,46,space probe,457
605,How many days after launch was Chandrayaan-2's orbital insertion held?,29,space probe,457
606,How many years ago was Chandrayaan-2 launched?,3,space probe,457
607,What was the difference in days between planned and elapsed time of the Vikram Lander mission duration?,14,space probe,457
608,How many years longer is the orbiter's planned mission duration than its current elapsed duration?,5,space probe,457
609,How many months after the launch date was the moon lander's landing date?,2,space probe,457
610,Around what year would Chandrayaan-2's orbiter's planned mission duration end according to the launch date?,2027,space probe,457
611,How many days passed between the launch date and landing date of Chandrayaan-2?,46,space probe,457
612,On what date did Black Dog Halt first become known by that name?,"June 8, 1953",railway,464
613,On what date did Black Dog Halt fall into disuse?,"September 20, 1965",railway,464
614,For how many years did Black Dog Siding operate under its original name?,90,railway,464
615,How long in years did Black Dog Siding remain open?,102,railway,464
616,What is the status of Black Dog Halt as of today?,disused,railway,464
617,On what date did Black Dog Halt first operate?,"November 3, 1863",railway,464
618,On what date was the second opening of Cheltenham Spa station?,"July 7, 2019",railway,465
619,What date was the first opening of Cheltenham Spa station?,"March 30, 2008",railway,465
620,How many years before the last closure of the station was the picture taken?,7,railway,465
621,How many years after originally opening as Cheltenham Malvern Road was it renamed Cheltenham Spa Malvern Road?,17,railway,465
622,How many years was Cheltenham Spa station operational after reopening in 1919?,47,railway,465
623,How many years ago was Cheltenham Spa station opened in Malvern Road?,114,railway,465
624,What was the name of the Cheltenham station in 1915?,Cheltenham Malvern Road,railway,465
625,How many years was Cheltenham Spa station open before its first closure?,9,railway,465
626,What events occurred in the same month across different years?,closed,railway,465
627,What year did AC/DC debut?,1973,musician,468
628,How long in years has AC/DC been active in the music scene?,49,musician,468
629,How many years has AC/DC been a band?,49,musician,468
630,Who was the label for AC/DC when they started in 1973?,Albert,musician,468
631,How many members were in AC/DC in 2009?,5,musician,468
632,How many total members has AC/DC had?,11,musician,468
633,In what country was AC/DC founded?,Australia,musician,468
634,What year was AC/DC formed?,1973,musician,468
635,How many years has AC/DC been performing?,49,musician,468
636,"In which place was Percy Faith born on April 7, 1908?","Toronto, Ontario, Canada",musician,472
637,What year was Percy Faith born?,1908,musician,472
638,What year did Percy Faith die?,1976,musician,472
639,How old was Percy Faith when he died?,67,musician,472
640,In what country was Faith born?,Canada,musician,472
641,How many occupations did Faith have?,3,musician,472
642,"If Percy Faith had died three months later in 1976, how old would he have been?",68,musician,472
643,"While at work in 1949, how old was Faith?",41,musician,472
644,What year would Percy Faith have had to die to live to be 100 years old?,2008,musician,472
645,How old was Percy Faith when he died?,67,musician,472
646,"In which place did Percy Faith die on February 9, 1976?","Encino, California, U.S.",musician,472
647,How many years ago did Faith die?,46,musician,472
648,With which national team did Michael Owen make the most goals?,England,footballer,479
649,With which team did Michael Owen make the most goals?,Liverpool,footballer,479
650,How old was Owen when he began his senior career?,17,footballer,479
651,How old was Michael Owen when he joined Real Madrid?,25,footballer,479
652,How many years were there between Owen joining Real Madrid and leaving Manchester United?,8,footballer,479
653,What team did he play for in 2012?,Stroke City,footballer,479
654,Where was Michael Owen born in 1979?,Chester England,footballer,479
655,How many more years did Owen play for Liverpool than Newcastle United?,4,footballer,479
656,How long in years did Michael Owen's senior career last?,17,footballer,479
657,What was the most recent team that Draško Nenadić played for?,RK Crvena zvezda,handball,492
658,How old was Draško Nenadić when he started playing for the national team?,22,handball,492
659,How many unique professional clubs has Nenadić played for?,9,handball,492
660,How many teams did Nenadić play for in 2018?,2,handball,492
661,For how many years did Draško Nenadić play with his first team?,3,handball,492
662,What was Draško Nenadić's nationality in 2010?,Serbian,handball,492
663,What team was Nenadić longest tenured with?,RK Crvena zvezda,handball,492
664,What was the player number of Draško Nenadić in 2022?,5,handball,492
665,Which club did Draško Nenadić play for in 2009?,RK Crvena zvezda,handball,492
666,How many times before 2020 did Emilie Hegh Arntzen win a medal in the European Championships?,2,handball,493
667,What was the first year Emilie Hegh Arntzen won a medal in the European Championships?,2014,handball,493
668,What was the last year Emilie Hegh Arntzen won a medal in any competition?,2021,handball,493
669,How many gold medals has Emilie Hegh Arntzen won in the European Championships since 2014?,3,handball,493
670,Which country did Emilie Hegh Arntzen represent in the 2016 Olympic Games?,Norway,handball,493
671,What senior club did Hegh Arntzen play for the year she won a bronze medal at the Olympic Games?,Byåsen HE,handball,493
672,How many years are between Arntzen's gold medal at the Croatia/Hungary European Championship and her gold medal at the Spain World Championship?,7,handball,493
673,How old was Arntzen when she began to play for her first senior club?,16,handball,493
674,What was the last year Emilie Hegh Arntzen received a medal in the World Championships?,2020,handball,493
675,What competition did Emilie Hegh Arntzen receive her first medal at?,Youth European Championship,handball,493
676,In what year did Emilie Hegh Arntzen receive her last medal?,2021,handball,493
677,Which club did Emilie Hegh Arntzen play for in 2015?,Byåsen HE,handball,493
678,"For how many years did Emilie Hegh Arntzen play for Byåsen HE, starting in 2014?",3,handball,493
679,Which country did Emilie Hegh Arntzen represent at the 2016 Olympic Games?,Norway,handball,493
680,How old was Arntzen when she began playing for CSM București?,27,handball,493
681,What team did Arntzen play for the year she won a bronze medal at the Youth World Championship?,Gjerpen IF,handball,493
682,How many years separate Arntzen's most recent gold medal from her earliest gold medal?,7,handball,493
683,How many gold medals has Emilie Hegh Arntzen won in the European Championship since 2014?,3,handball,493
684,How many years longer did Hasanefendić manage Switzerland than VfL Gummersbach?,3,handball,503
685,Which team did Sead Hasanefendić manage in 2020?,ThSV Eisenach,handball,503
686,How old was Sead Hasanefendić when he worked as manager for GWD Minden in 2013?,65,handball,503
687,What was the second to last team that Sead Hasanefendić managed?,VfL Gummersbach,handball,503
688,How many years did Sead Hasanefendić work as manager for the Switzerland team starting from 1980?,6,handball,503
689,How old was Hasanefendić when he managed his first team?,31,handball,503
690,What was the first team that Sead Hasanefendić managed?,Yugoslavia,handball,503
691,How many years after Hasanefendić stopped managing RK Metaloplastika did he begin managing his current team?,38,handball,503
692,What team did Sead Hasanefendić most recently manage?,ThSV Eisenach,handball,503
693,What was the first team that Žarko Marković played with?,RK Jugović,handball,504
694,Which national team did Žarko Marković represent in 2021?,Qatar,handball,504
695,How many years did Žarko Marković play for Montenegro?,6,handball,504
696,Which club team did Žarko Marković play for in 2016?,El Jaish,handball,504
697,What was the most recent team that Žarko Marković played for?,Al Rayyan,handball,504
698,What is the number of senior clubs that Žarko Marković has played on for four years?,2,handball,504
699,How many years did Žarko Marković play for Montenegro?,6,handball,504
700,What team did Žarko Marković play for in 2015?,El Jaish,handball,504
701,For how many years did Žarko Marković play for Montenegro?,7,handball,504
702,In what year range did Novak Djokovic first win 3 consecutive Australian Open tournaments?,2011-2013,tennis,509
703,How many Wimbledon titles has Novak Djokovic won since 2015?,4,tennis,509
704,Who was the President of the ATP Player Council in 2015?,Eric Butorac,tennis,509
705,What year did Novak Djokovic win his first U.S. Open?,2011,tennis,509
706,What year did Novak Djokovic win a bronze medal at the Olympic Games?,2008,tennis,509
707,How many Olympic Games has Novak Djokovic participated in?,1,tennis,509
708,How many times has he won the US Open?,3,tennis,509
709,What is Novak Djokovic's highest ranking to date?,1,tennis,509
710,How old was Novak Djokovic when he competed in the Olympic Games?,21,tennis,509
711,For how many years did Roger Federer play professionally before achieving his highest ranking?,6,tennis,512
712,In how many Grand Slam singles tournaments did Roger Federer participate in 2005?,2,tennis,512
713,How many years after turning pro did Roger Federer win a silver Olympic medal?,14,tennis,512
714,How many Open Era players have more singles career titles than Roger Federer?,1,tennis,512
715,How many more Hopman Cups has Roger Federer won than Davis Cups?,2,tennis,512
716,How many Wimbledon appearances does Roger Federer have?,9,tennis,512
717,How old was Roger Federer when he won his first Olympic gold medal?,27,tennis,512
718,How many years after winning the Olympic gold medal did Roger Federer get an Olympic silver medal?,4,tennis,512
719,At what age did Roger Federer get his highest ranking?,23,tennis,512
720,"Between 2007 and 2012, how many times did Dario Franchitti not finish first?",2,car driver,516
721,How many times did Dario Franchitti achieve his best finish in the IndyCar Series since 2004?,4,car driver,516
722,How many years elapsed between Franchitti's first race in the IndyCar Series and his first race in the Champ Car career?,5,car driver,516
723,How old was Dario Franchitti when he won the BRDC Gold Star in 2009?,36,car driver,516
724,How many years longer was Franchitti's IndyCar Series career than his NASCAR Camping World Truck Series career?,9,car driver,516
725,What title did Dario Franchitti win in 2010?,IndyCar Series Champion,car driver,516
726,In what other series did Franchitti achieve his best finish the same year as his best finish in the NASCAR Cup Series?,NASCAR Xfinity Series,car driver,516
727,In which NASCAR series did Dario Franchitti drive the most races?,Xfinity Series,car driver,516
728,How many years had Dario Franchitti been retired from IndyCar when he was elected to the Motorsports Hall of Fame?,6,car driver,516
729,How many years did Davy Jones compete in the Le Mans division?,4,racing,517
730,When was the last year that Davy Jones competed in the Le Mans division?,1996,racing,517
731,How many years did Davy Jones race in the 24 Hours of Le Mans?,4,racing,517
732,How many NASCAR Cup Series and IndyCar Series races combined did Davy Jones run?,8,racing,517
733,Over how many years did Davy Jones compete in the 24 Hours of Le Mans race?,5,racing,517
734,In what year would Davy Jones have turned 30?,1994,racing,517
735,What was the first division that Davy Jones competed in?,Champ Car,racing,517
736,What year did Davy Jones run his first Daytona 500 race?,1995,racing,517
737,How old was Davy Jones when he made his first Daytona 500 appearance?,31,racing,517
738,How old was Gordon during his first race in the ARCA Menards Series?,21,car driver,518
739,How many years after his debut in the Stadium Super Trucks did Gordon win a silver medal at the Summer X Games?,2,car driver,518
740,How old was Robby Gordon when he first raced in the NASCAR Cup Series?,22,car driver,518
741,How many years ago did Robby Gordon first win the Stadium Super Trucks?,9,car driver,518
742,How many medals did Robby Gordon win at the Summer X Games starting from 2014?,2,car driver,518
743,Who is Robby Gordon's sister married to?,Ryan Hunter-Reay,car driver,518
744,How many times has Robby Gordon won the Baja 1000?,3,car driver,518
745,How many NASCAR races did Robby Gordon win?,3,car driver,518
746,How many years longer was Gordon's NASCAR Xfinity Series career than his IndyCar Series career?,2,car driver,518
747,How old was Ryan Hunter-Reay when he won the Skip Barber National Championship in 1999?,19,car driver,521
748,How many major open-wheel races has Hunter-Reay won in total?,18,car driver,521
749,What was the span in years between his first and last win on the IndyCar circuit?,10,car driver,521
750,How old was Ryan Hunter-Reay when he won the IndyCar Rookie of the Year?,27,car driver,521
751,What team did Ryan Hunter-Reay drive for when he won his ESPN awards?,Andretti Autosport,car driver,521
752,What team did Ryan Hunter-Reay drive for in the 2005 Hurricane Relief 400?,Rocketsports Racing,car driver,521
753,How many years has Ryan Hunter-Reay participated in the Rolex Grand-Am Sports Car Series since 2006?,7,car driver,521
754,How many of Ryan Hunter-Reay's IndyCar podiums were not wins?,28,car driver,521
755,How many years ago did Ryan Hunter-Reay win the WorldCom Rising Star Award?,20,car driver,521
756,How many times did Timo Glock start a DTM race and not win?,141,car driver,523
757,In what series did Timo Glock have his best finish?,DTM,car driver,523
758,How many years ago did Timo Glock last race in his Formula One World Championship career?,10,car driver,523
759,How old was Timo Glock when he participated in Formula BMW in 2001?,19,car driver,523
760,How many times did Timo Glock have the best finish in his DTM career starting in 2013?,2,car driver,523
761,How many years were between Glock's best finish in his DTM career and his first best finish in his Champ Car career?,13,car driver,523
762,How old was Glock during his last entry in the Formula One World Championship?,30,car driver,523
763,What other series did Timo Glock race in during the same year as his first entry in the Formula One World Championship?,Porsche Supercup,car driver,523
764,How many different DTM and Formula One teams was Timo Glock associated with?,8,car driver,523
765,How many years after Dennis Erickson's first coaching job did he become head coach of the Salt Lake Stallions?,50,nfl,540
766,In what year did Dennis Erickson receive his second national championship award?,1991,nfl,540
767,What was the first team that Dennis Erickson coached?,Montana State,nfl,540
768,What was the most recent team that Dennis Erickson coached?,Salt Lake Stallions,nfl,540
769,When was the last year that Dennis Erickson coached for an NFL team?,2004,nfl,540
770,How long in years years did Dennis Erickson work as the head coach for Idaho starting in 1982?,3,nfl,540
771,How many times did Dennis Erickson win Big East Coach of the Year starting in 1985?,3,nfl,540
772,How old was Dennis Erickson when he won the Big Sky Championship in 1985?,38,nfl,540
773,What year did Dennis Erickson coach at Billings Central Catholic High School?,1970,nfl,540
774,Which team did Derrell Palmer play for in 1950?,Cleveland Browns,nfl,546
